id,task_id,node_id,original_reported_date,node_age,node_type,task_type,outcome
0,TASK4613,NODE150,2020-12-23 00:00:00,20,TYPE4,TASK6,SUCCESS
1,TASK7648,NODE11,2020-12-23 00:00:00,11,TYPE5,TASK4,SUCCESS
2,TASK5792,NODE70,2020-12-25 00:00:00,3,TYPE5,TASK7,SUCCESS
3,TASK2849,NODE125,2020-12-21 00:00:00,12,TYPE3,TASK1,SUCCESS
4,TASK7331,NODE30,2020-12-17 00:00:00,2,TYPE5,TASK5,SUCCESS
5,TASK2779,NODE200,2020-12-16 00:00:00,2,TYPE2,TASK2,SUCCESS
6,TASK1678,NODE191,2020-12-16 00:00:00,0,TYPE1,TASK7,SUCCESS
7,TASK4520,NODE60,2020-12-24 00:00:00,0,TYPE5,TASK3,SUCCESS
8,TASK262,NODE177,2020-12-24 00:00:00,15,TYPE1,TASK2,SUCCESS
9,TASK2670,NODE443,2020-12-21 00:00:00,19,TYPE4,TASK4,SUCCESS
10,TASK2803,NODE58,2020-12-21 00:00:00,11,TYPE1,TASK9,SUCCESS
11,TASK1608,NODE471,2020-12-20 00:00:00,18,TYPE2,TASK2,SUCCESS
12,TASK9576,NODE99,2020-12-22 00:00:00,10,TYPE2,TASK4,SUCCESS
13,TASK7113,NODE50,2020-12-20 00:00:00,13,TYPE1,TASK4,SUCCESS
14,TASK4635,NODE379,2020-12-07 00:00:00,18,TYPE1,TASK6,SUCCESS
15,TASK3253,NODE67,2020-12-24 00:00:00,11,TYPE5,TASK5,SUCCESS
16,TASK9795,NODE144,2020-12-23 00:00:00,6,TYPE4,TASK2,SUCCESS
17,TASK5234,NODE433,2020-12-22 00:00:00,2,TYPE5,TASK3,SUCCESS
18,TASK4925,NODE389,2020-12-17 00:00:00,5,TYPE3,TASK8,SUCCESS
19,TASK133,NODE157,2020-12-08 00:00:00,7,TYPE1,TASK4,SUCCESS
20,TASK9242,NODE314,2020-12-10 00:00:00,2,TYPE5,TASK1,SUCCESS
21,TASK5926,NODE471,2020-12-19 00:00:00,4,TYPE4,TASK2,SUCCESS
22,TASK1991,NODE209,2020-12-21 00:00:00,3,TYPE3,TASK6,SUCCESS
23,TASK8985,NODE85,2020-12-20 00:00:00,16,TYPE3,TASK6,SUCCESS
24,TASK6174,NODE340,2020-12-19 00:00:00,19,TYPE4,TASK6,SUCCESS
25,TASK5794,NODE110,2020-12-02 00:00:00,11,TYPE1,TASK6,SUCCESS
26,TASK4442,NODE41,2020-12-25 00:00:00,1,TYPE1,TASK9,SUCCESS
27,TASK3082,NODE52,2020-12-23 00:00:00,14,TYPE2,TASK2,SUCCESS
28,TASK1217,NODE213,2020-12-18 00:00:00,14,TYPE4,TASK5,SUCCESS
29,TASK8933,NODE467,2020-12-12 00:00:00,5,TYPE1,TASK6,SUCCESS
30,TASK5906,NODE384,2020-12-25 00:00:00,11,TYPE3,TASK7,SUCCESS
31,TASK5605,NODE180,2020-12-13 00:00:00,9,TYPE1,TASK6,SUCCESS
32,TASK1730,NODE305,2020-12-19 00:00:00,20,TYPE2,TASK7,SUCCESS
33,TASK6756,NODE124,2020-12-17 00:00:00,17,TYPE4,TASK4,SUCCESS
34,TASK1832,NODE241,2020-12-24 00:00:00,14,TYPE4,TASK9,SUCCESS
35,TASK1184,NODE342,2020-12-24 00:00:00,16,TYPE1,TASK6,SUCCESS
36,TASK8595,NODE420,2020-12-18 00:00:00,20,TYPE2,TASK7,SUCCESS
37,TASK6711,NODE444,2020-12-19 00:00:00,5,TYPE4,TASK6,SUCCESS
38,TASK5180,NODE496,2020-12-11 00:00:00,14,TYPE1,TASK8,SUCCESS
