id,visit_id,visit_date,engineer_skill_level,engineer_note,outcome,task_id,tavg
0,0,2020-01-02 00:00:00,3,40 70 167 52 96 175 164 25 104 200,FAIL,TASK2434,8.7
1,0,2020-01-02 00:00:00,5,96 87 147 94 189 53 159 203 203,SUCCESS,TASK2505,8.7
2,0,2020-01-02 00:00:00,5,129 131 65 133 127 166 104 16 115 94 110 202,SUCCESS,TASK9733,8.7
3,0,2020-01-03 00:00:00,2,125 63 172 65 148 7 37 164 153 131 197 157 67,FAIL,TASK3277,8.6
4,0,2020-01-03 00:00:00,2,40 160 76 133 97 78 43 108 93 6 14 89 193 101 114 202,FAIL,TASK344,8.6
5,0,2020-01-03 00:00:00,4,37 125 177 23 164 102 147 166 153 95 142 195 106 141 161,SUCCESS,TASK5441,8.6
6,0,2020-01-03 00:00:00,3,169 148 34 98 104 17,FAIL,TASK5590,8.6
7,0,2020-01-03 00:00:00,2,158 15 26 65 200 38,FAIL,TASK6014,8.6
8,0,2020-01-03 00:00:00,1,27 195 65 188 176 45 167 71 91,SUCCESS,TASK6535,8.6
9,0,2020-01-03 00:00:00,1,25 11 182 201 73 61 38 20 101 202 2 138 28,FAIL,TASK9329,8.6
10,0,2020-01-04 00:00:00,4,16 70 95 44 157 197 101,SUCCESS,TASK2816,6.4
11,0,2020-01-04 00:00:00,2,171 166 101 174 178 202 42,FAIL,TASK3970,6.4
12,0,2020-01-04 00:00:00,2,87 52 162 62 196 156 65 129 121 104,SUCCESS,TASK4084,6.4
13,0,2020-01-04 00:00:00,4,112 186 55 77,FAIL,TASK4199,6.4
14,0,2020-01-04 00:00:00,2,35 147 34 152 80,FAIL,TASK6438,6.4
15,0,2020-01-04 00:00:00,1,18 132 129,FAIL,TASK6659,6.4
16,0,2020-01-04 00:00:00,2,22 48 37 60 145 181 7 175 189 187 24 133 67 28 173,SUCCESS,TASK6987,6.4
17,0,2020-01-04 00:00:00,1,68 19 120 183 75 161 78 43,SUCCESS,TASK7095,6.4
18,0,2020-01-04 00:00:00,4,99 136 162 11 24,FAIL,TASK7800,6.4
19,0,2020-01-04 00:00:00,4,4 41 199 65 156 129 188 32 151,FAIL,TASK7879,6.4
20,0,2020-01-04 00:00:00,2,3 170 18 132 171 38 202,SUCCESS,TASK793,6.4
21,0,2020-01-04 00:00:00,1,40 103 173 67,FAIL,TASK8538,6.4
22,0,2020-01-04 00:00:00,4,7 37 26 160 72 6 162,SUCCESS,TASK9250,6.4
23,0,2020-01-05 00:00:00,1,13 151 156 75 12 129 42 178 46 203 201,FAIL,TASK2550,7.8
24,0,2020-01-05 00:00:00,5,19 12 46 4 58 157 50 151,FAIL,TASK2871,7.8
25,0,2020-01-05 00:00:00,2,21 124 4 65 143 72 141 51 42 127 130 101 40 151,FAIL,TASK3715,7.8
26,1,2020-01-05 00:00:00,5,36 118 170 69 58 39 160 12 201,FAIL,TASK3970,7.8
27,0,2020-01-05 00:00:00,4,169 132 41 30 138,SUCCESS,TASK4665,7.8
28,0,2020-01-05 00:00:00,3,85 80 189 179 84 90 57 195 176 157 151,SUCCESS,TASK4699,7.8
29,0,2020-01-05 00:00:00,4,118 108 167 77 161 57 156,FAIL,TASK5716,7.8
30,0,2020-01-05 00:00:00,3,30 24 51,FAIL,TASK5740,7.8
31,0,2020-01-05 00:00:00,1,46 133 22 19 99,FAIL,TASK5843,7.8
32,0,2020-01-05 00:00:00,1,72 54 102 115 82 104 24 189,SUCCESS,TASK6808,7.8
33,0,2020-01-05 00:00:00,3,169 76 58 60 107 10 31 56 84 6 112 59 80 13 166,FAIL,TASK7541,7.8
34,0,2020-01-05 00:00:00,3,3 200 32 103 24 190 9 154 69,FAIL,TASK8642,7.8
35,0,2020-01-05 00:00:00,4,55 77 8 83 47 200,FAIL,TASK9394,7.8
36,0,2020-01-05 00:00:00,3,27 141 63 186 201,SUCCESS,TASK9635,7.8
37,0,2020-01-05 00:00:00,1,78 42 138 19 107 153 16 177 14 29 172 59 147 202,FAIL,TASK9665,7.8
38,0,2020-01-06 00:00:00,2,187 96 108 25 95 53 72 34 87 88 156,SUCCESS,TASK2058,7.7
39,0,2020-01-06 00:00:00,1,50 54 105 31 116 62 28 64,FAIL,TASK3318,7.7
40,0,2020-01-06 00:00:00,3,188 38 39 14 133 85 9 34 42,FAIL,TASK386,7.7
41,0,2020-01-06 00:00:00,2,62 143 121 55 195 192 180 203,FAIL,TASK5059,7.7
42,0,2020-01-06 00:00:00,5,95 171 21 201,SUCCESS,TASK5148,7.7
43,0,2020-01-06 00:00:00,2,154 63 18 180 8 53,FAIL,TASK6896,7.7
44,0,2020-01-06 00:00:00,3,1 74 123 134 8 153 199,SUCCESS,TASK6994,7.7
45,0,2020-01-06 00:00:00,4,154 66 56 102 42 26 14 146,SUCCESS,TASK7239,7.7
46,0,2020-01-06 00:00:00,1,128 166 78 103 134 49 177 20 51 131 191,FAIL,TASK7657,7.7
47,0,2020-01-06 00:00:00,3,107 77 43,SUCCESS,TASK7863,7.7
48,0,2020-01-06 00:00:00,3,85 192 139 170 195 34 169 60 105 142 200 177 196 174 16,SUCCESS,TASK8143,7.7
49,0,2020-01-06 00:00:00,1,27 36 76 201 142 103 16 148 172 44 106,FAIL,TASK8314,7.7
50,0,2020-01-06 00:00:00,2,203 158 4 133 152 47 194 43 60,SUCCESS,TASK8997,7.7
51,0,2020-01-07 00:00:00,2,7 166 76 143 6 60,FAIL,TASK1327,9.3
52,0,2020-01-07 00:00:00,2,99 98 115,SUCCESS,TASK148,9.3
53,0,2020-01-07 00:00:00,5,104 115 128 169 181 51 92 143 179 176 126 135 146,SUCCESS,TASK2064,9.3
54,1,2020-01-07 00:00:00,5,58 71 173,SUCCESS,TASK2550,9.3
55,0,2020-01-07 00:00:00,4,143 4 101 166 109 116 203 66 64 58 50 123 200,SUCCESS,TASK2985,9.3
56,0,2020-01-07 00:00:00,4,109 54 176 32 45,SUCCESS,TASK3007,9.3
57,0,2020-01-07 00:00:00,5,97 177 202 131 84 0 132,SUCCESS,TASK314,9.3
58,0,2020-01-07 00:00:00,3,82 178 14 81 153 143 54 121 190 115 68 86 120 180,FAIL,TASK3183,9.3
59,0,2020-01-07 00:00:00,1,66 178 14 82 34 25 162 141 200,FAIL,TASK3192,9.3
60,1,2020-01-07 00:00:00,3,89 90 93 190,FAIL,TASK3277,9.3
61,1,2020-01-07 00:00:00,1,148 100 15 10 73 91 155 45 124 112 195 77,FAIL,TASK3318,9.3
62,0,2020-01-07 00:00:00,4,174 24 166,SUCCESS,TASK3319,9.3
63,1,2020-01-07 00:00:00,3,183 56 197 63 131 119 7 53 156 195,SUCCESS,TASK344,9.3
64,0,2020-01-07 00:00:00,3,40 161 193 80 70,SUCCESS,TASK3640,9.3
65,0,2020-01-07 00:00:00,3,12 83 59 140 161 7 187 135 160 38 25 117 173 182,SUCCESS,TASK4038,9.3
66,0,2020-01-07 00:00:00,2,53 63 64 157,SUCCESS,TASK4089,9.3
67,0,2020-01-07 00:00:00,4,45 12 163 87 167 4 104 197 92 3 7 14 128,FAIL,TASK4207,9.3
68,0,2020-01-07 00:00:00,3,127 140 180 45,FAIL,TASK4515,9.3
69,1,2020-01-07 00:00:00,5,95 34 200 171 7 169 5 58 159 21,SUCCESS,TASK5059,9.3
70,0,2020-01-07 00:00:00,4,185 99 125 63,FAIL,TASK5487,9.3
71,0,2020-01-07 00:00:00,5,151 113 131 89,SUCCESS,TASK6385,9.3
72,0,2020-01-07 00:00:00,3,75 203 182,FAIL,TASK6784,9.3
73,0,2020-01-07 00:00:00,3,187 39 21 121 111 189 56 96 153 92,FAIL,TASK6928,9.3
74,0,2020-01-07 00:00:00,1,191 52 155 71 101 85 134 38 51 159 81 79 202,FAIL,TASK7167,9.3
75,0,2020-01-07 00:00:00,4,146 192 26 15,FAIL,TASK7327,9.3
76,0,2020-01-07 00:00:00,4,53 12 155 46 50 59 72 124 201,SUCCESS,TASK7446,9.3
77,1,2020-01-07 00:00:00,3,141 74 136 56 175,SUCCESS,TASK7541,9.3
78,0,2020-01-07 00:00:00,3,64 94 168 69 186 27 74 173 23 171 80 28 201,FAIL,TASK7869,9.3
79,0,2020-01-07 00:00:00,3,174 2 1 145 198 156 79 16 60 123 63 169 27,SUCCESS,TASK8186,9.3
80,0,2020-01-07 00:00:00,2,65 184 78,SUCCESS,TASK8236,9.3
81,0,2020-01-07 00:00:00,1,63 41 54 0 101 85 93 37 88 55 94 162 1 180 62,FAIL,TASK8735,9.3
82,0,2020-01-07 00:00:00,2,62 96 106 199 111 118 81 15 64 92 138 154 63 203,FAIL,TASK8742,9.3
83,0,2020-01-07 00:00:00,3,54 183 108 136 73 202 20 142 175 13 11 93 63 38,FAIL,TASK8878,9.3
84,1,2020-01-07 00:00:00,3,109 123 120 144 75 25 24 198 158 182,FAIL,TASK9329,9.3
85,1,2020-01-07 00:00:00,1,102 48 191 105 114 73 28 10 140,FAIL,TASK9394,9.3
86,0,2020-01-07 00:00:00,3,94 181 89 100 6 141 106 167 183 126 176,SUCCESS,TASK9479,9.3
87,0,2020-01-08 00:00:00,3,161 119 125 61 53 102 106 74 155 26 203,FAIL,TASK1429,11.4
